0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:29 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:37 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:43 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:43 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:46 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 32171
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:46 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:02 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:22 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:22 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 160860
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:22 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:27 +0700] "GET /cassava_mvc/variety/varietyDelete/57 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:27 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:04:27 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
